femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh,id,declarationYear,declarationMonth,declarationDayOfWeek,incidentDuration
DR-4326-MI,4326,MI,DR,2017-08-02 00:00:00+00:00,2017,Severe Storm,SEVERE STORMS AND FLOODING,1,0,0,1,2017-06-22 00:00:00+00:00,2017-06-27 00:00:00+00:00,2022-09-26 00:00:00+00:00,0,26,17,99017,Bay (County),17069,2017-10-02 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,2ebd33ff-b6c7-4669-a803-4d0c0f573eda,2017,8,2,5
DR-4326-MI,4326,MI,DR,2017-08-02 00:00:00+00:00,2017,Severe Storm,SEVERE STORMS AND FLOODING,1,0,0,1,2017-06-22 00:00:00+00:00,2017-06-27 00:00:00+00:00,2022-09-26 00:00:00+00:00,0,26,51,99051,Gladwin (County),17069,2017-10-02 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,7912cee4-5b44-417a-8dd7-c0c3ca27ab55,2017,8,2,5
DR-4326-MI,4326,MI,DR,2017-08-02 00:00:00+00:00,2017,Severe Storm,SEVERE STORMS AND FLOODING,1,0,0,1,2017-06-22 00:00:00+00:00,2017-06-27 00:00:00+00:00,2022-09-26 00:00:00+00:00,0,26,73,99073,Isabella (County),17069,2017-10-02 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,f986e47d-6632-4ae9-8e60-45ba1b138dfb,2017,8,2,5
DR-4326-MI,4326,MI,DR,2017-08-02 00:00:00+00:00,2017,Severe Storm,SEVERE STORMS AND FLOODING,1,0,0,1,2017-06-22 00:00:00+00:00,2017-06-27 00:00:00+00:00,2022-09-26 00:00:00+00:00,0,26,111,99111,Midland (County),17069,2017-10-02 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,b80eaf55-b5e8-45aa-99f9-ecb05ed85e3d,2017,8,2,5
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,9,99009,Boone (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,caaedbd6-8760-4249-b206-ae981389a444,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,11,99011,Bradley (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,df6c008d-1943-49c1-bb07-e7392d2b0465,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,13,99013,Calhoun (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,d28b3d73-50c0-4938-9c38-7b9351507839,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,21,99021,Clay (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,82d51742-0f1c-4773-8de2-29cc6d4d62ee,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,39,99039,Dallas (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,b4072513-6ae5-414a-8738-a02724cb9ca6,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,43,99043,Drew (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,b499eff7-16b4-4b50-87f6-d1337ef609b1,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,47,99047,Franklin (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,c100e15a-ef3d-45cc-b6e5-21e8d8b5cce8,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,55,99055,Greene (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,8dc77532-72fe-4fb3-a49a-751f035a9358,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,63,99063,Independence (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,a8cc5589-6dd9-45ff-a815-401340405692,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,65,99065,Izard (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,154761e7-a862-46f3-a435-a9ded9129e3f,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,75,99075,Lawrence (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,ea291bd6-9370-441e-82ef-4de317674d32,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,83,99083,Logan (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,69995259-8c22-4714-b2ac-23f653c0c55c,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,87,99087,Madison (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,e9edf66b-cea1-44e6-b136-8f5a7a4c2317,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,89,99089,Marion (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,8ce6c79e-7ac8-47e1-b1ee-e59eac4ea736,2016,2,4,27
DR-4254-AR,4254,AR,DR,2016-02-05 00:00:00+00:00,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-26 00:00:00+00:00,2016-01-22 00:00:00+00:00,2022-04-26 00:00:00+00:00,0,5,93,99093,Mississippi (County),16011,2016-04-05 00:00:00+00:00,2023-05-22 03:41:22.800000+00:00,434e28a0-8b6f-485d-a27f-cfb8439b8d7f,2016,2,4,27
