state,declarationType,incidentType,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsStateCode,fipsCountyCode,designatedArea,combinedFIPS,State Code,year,Month,Precipitation,Cooling_Days,Heating_Days,AverageTemp
NM,FM,Fire,0,0,1,1,35,33,Mora (County),35033,35,2023,5,1.19,10,263,56.8
NM,FM,Fire,0,0,1,1,35,47,San Miguel (County),35047,35,2023,5,1.19,10,245,57.4
RI,FM,Fire,0,0,1,1,44,9,"Washington (County)(in (P)MSA 5520,6480)",44009,44,2023,4,5.04,8,224,57.8
NE,FM,Fire,0,0,1,1,31,25,Cass (County),31025,31,2023,4,6.22,13,177,59.6
NM,FM,Fire,0,0,1,1,35,57,Torrance (County),35057,35,2023,4,13.48,0,619,44.4
OK,FM,Fire,0,0,1,1,40,147,Washington (County),40147,40,2023,3,4.77,15,480,50
OK,FM,Fire,0,0,1,1,40,109,Oklahoma (County),40109,40,2023,3,7,22,390,53.1
OK,FM,Fire,0,0,1,1,40,83,Logan (County),40083,40,2023,3,5.05,16,463,50.6
OR,FM,Fire,0,0,1,1,41,5,Clackamas (County),41005,41,2022,9,2.93,388,0,78
ID,FM,Fire,0,0,1,1,16,13,Blaine (County),16013,16,2022,9,1.83,321,0,75.7
ID,FM,Fire,0,0,1,1,16,3,Adams (County),16003,16,2022,8,6.41,524,0,81.9
ID,FM,Fire,0,0,1,1,16,45,Gem (County),16045,16,2022,8,8.95,513,0,81.6
ID,FM,Fire,0,0,1,1,16,85,Valley (County),16085,16,2022,8,5,551,0,82.8
NV,FM,Fire,0,0,1,1,32,31,Washoe (County),32031,32,2022,8,1.01,146,44,68.3
OR,FM,Fire,0,0,1,1,41,65,Wasco (County),41065,41,2022,8,2.14,445,0,79.4
TX,FM,Fire,0,0,1,1,48,35,Bosque (County),48035,48,2022,7,0.46,24,120,61.9
AZ,FM,Fire,0,0,1,1,4,5,Coconino (County),4005,4,2022,6,0.47,199,20,71
NM,FM,Fire,0,0,1,1,35,47,San Miguel (County),35047,35,2022,4,8.01,0,658,43
NM,DR,Fire,1,0,1,1,35,47,San Miguel (County),35047,35,2022,4,8.01,0,658,43
NM,FM,Fire,0,0,1,1,35,7,Colfax (County),35007,35,2022,4,9.8,0,627,44.1
NM,DR,Fire,1,0,1,1,35,7,Colfax (County),35007,35,2022,4,9.8,0,627,44.1
NE,FM,Fire,0,0,1,1,31,63,Frontier (County),31063,31,2022,4,2.87,10,205,58.5
NE,FM,Fire,0,0,1,1,31,65,Furnas (County),31065,31,2022,4,2.61,16,162,60.1
NE,FM,Fire,0,0,1,1,31,145,Red Willow (County),31145,31,2022,4,2.7,5,261,56.5
AZ,FM,Fire,0,0,1,1,4,25,Yavapai (County),4025,4,2022,4,0,285,11,74.1
AZ,FM,Fire,0,0,1,1,4,5,Coconino (County),4005,4,2022,4,3.74,10,338,54.1
NM,FM,Fire,0,0,1,1,35,27,Lincoln (County),35027,35,2022,4,7.86,0,817,37.8
NM,DR,Fire,1,0,1,1,35,27,Lincoln (County),35027,35,2022,4,7.86,0,817,37.8
NM,FM,Fire,0,0,1,1,35,61,Valencia (County),35061,35,2022,4,3.52,0,848,36.7
NM,DR,Fire,1,0,1,1,35,61,Valencia (County),35061,35,2022,4,3.52,0,848,36.7
FL,FM,Fire,0,0,1,1,12,5,Bay (County),12005,12,2022,3,3.87,8,599,45.9
FL,FM,Fire,0,0,1,1,12,13,Calhoun (County),12013,12,2022,3,4.58,6,629,44.9
KS,FM,Fire,0,0,1,1,20,79,Harvey (County),20079,20,2022,3,5.03,0,1133,28.4
KS,FM,Fire,0,0,1,1,20,155,Reno (County),20155,20,2022,3,3.18,0,896,36.1
CO,FM,Fire,0,0,1,1,8,13,Boulder (County),8013,8,2022,12,3.64,22,333,55
CO,DR,Fire,1,0,1,1,8,13,Boulder (County),8013,8,2022,12,3.64,22,333,55
OK,FM,Fire,0,0,1,1,40,139,Texas (County),40139,40,2022,12,5.82,0,733,41.4
SD,FM,Fire,0,0,1,1,46,103,Pennington (County),46103,46,2022,10,2.64,0,469,49.9
OR,FM,Fire,0,0,1,1,41,37,Lake (County),41037,41,2021,8,3.51,549,0,82.7
ID,FM,Fire,0,0,1,1,16,69,Nez Perce (County),16069,16,2021,8,3.6,549,0,82.7
MT,FM,Fire,0,0,1,1,30,87,Rosebud (County),30087,30,2021,8,5.61,311,0,75
MT,DR,Fire,0,0,1,1,30,87,Rosebud (County),30087,30,2021,8,5.61,311,0,75
HI,FM,Fire,0,0,1,1,15,1,Hawaii (County),15001,15,2021,8,4.47,330,0,75.6
MT,FM,Fire,0,0,1,1,30,3,Big Horn (County),30003,30,2021,7,8.29,115,24,67.9
NV,FM,Fire,0,0,1,1,32,5,Douglas (County),32005,32,2021,7,0.72,276,11,73.6
MT,FM,Fire,0,0,1,1,30,111,Yellowstone (County),30111,30,2021,7,8.91,158,8,69.8
OR,FM,Fire,0,0,1,1,41,35,Klamath (County),41035,41,2021,7,4.2,527,0,82
OR,FM,Fire,0,0,1,1,41,37,Lake (County),41037,41,2021,7,3.89,510,0,81.5
OR,FM,Fire,0,0,1,1,41,17,Deschutes (County),41017,41,2021,6,3.58,348,0,76.6
MT,FM,Fire,0,0,1,1,30,9,Carbon (County),30009,30,2021,6,3.99,91,47,66.5
NV,FM,Fire,0,0,1,1,32,5,Douglas (County),32005,32,2021,6,2.47,174,41,69.4
AZ,FM,Fire,0,0,1,1,4,7,Gila (County),4007,4,2021,6,0.06,338,0,76.1
AZ,FM,Fire,0,0,1,1,4,21,Pinal (County),4021,4,2021,6,0.07,358,0,76.9
AZ,FM,Fire,0,0,1,1,4,25,Yavapai (County),4025,4,2021,5,0,464,0,80
NM,FM,Fire,0,0,1,1,35,27,Lincoln (County),35027,35,2021,4,1.08,0,594,45.2
AZ,FM,Fire,0,0,1,1,4,21,Pinal (County),4021,4,2021,4,0.26,47,170,60.9
SD,FM,Fire,0,0,1,1,46,103,Pennington (County),46103,46,2021,3,4.29,0,616,45.1
NV,FM,Fire,0,0,1,1,32,31,Washoe (County),32031,32,2021,11,0.6,0,1002,31.6
CO,FM,Fire,0,0,1,1,8,13,Boulder (County),8013,8,2021,10,5.18,223,14,71.7
CO,FM,Fire,0,0,1,1,8,49,Grand (County),8049,8,2021,10,2.81,379,0,77.2
OR,FM,Fire,0,0,1,1,41,37,Lake (County),41037,41,2020,9,6.79,285,6,74.3
OR,DR,Fire,0,0,1,1,41,37,Lake (County),41037,41,2020,9,6.79,285,6,74.3
OR,FM,Fire,0,0,1,1,41,67,Washington (County),41067,41,2020,9,6.58,291,0,74.5
OR,DR,Fire,0,0,1,1,41,67,Washington (County),41067,41,2020,9,6.58,291,0,74.5
OR,EM,Fire,0,0,1,0,41,67,Washington (County),41067,41,2020,9,6.58,291,0,74.5
OR,FM,Fire,0,0,1,1,41,71,Yamhill (County),41071,41,2020,9,6.36,466,0,80.5
OR,DR,Fire,0,0,1,1,41,71,Yamhill (County),41071,41,2020,9,6.36,466,0,80.5
OR,FM,Fire,0,0,1,1,41,5,Clackamas (County),41005,41,2020,9,5.15,358,0,76.9
OR,DR,Fire,1,0,1,1,41,5,Clackamas (County),41005,41,2020,9,5.15,358,0,76.9
OR,EM,Fire,0,0,1,0,41,5,Clackamas (County),41005,41,2020,9,5.15,358,0,76.9
OR,FM,Fire,0,0,1,1,41,33,Josephine (County),41033,41,2020,9,2.18,210,19,71.4
OR,DR,Fire,0,0,1,1,41,33,Josephine (County),41033,41,2020,9,2.18,210,19,71.4
OR,FM,Fire,0,0,1,1,41,57,Tillamook (County),41057,41,2020,9,4.77,481,0,81
OR,DR,Fire,0,0,1,1,41,57,Tillamook (County),41057,41,2020,9,4.77,481,0,81
OR,EM,Fire,0,0,1,0,41,57,Tillamook (County),41057,41,2020,9,4.77,481,0,81
OR,FM,Fire,0,0,1,1,41,29,Jackson (County),41029,41,2020,9,3.91,378,0,77.6
OR,DR,Fire,1,0,1,1,41,29,Jackson (County),41029,41,2020,9,3.91,378,0,77.6
OR,EM,Fire,0,0,1,0,41,29,Jackson (County),41029,41,2020,9,3.91,378,0,77.6
OR,FM,Fire,0,0,1,1,41,19,Douglas (County),41019,41,2020,9,2.61,303,0,75.1
OR,DR,Fire,1,0,1,1,41,19,Douglas (County),41019,41,2020,9,2.61,303,0,75.1
OR,EM,Fire,0,0,1,0,41,19,Douglas (County),41019,41,2020,9,2.61,303,0,75.1
CA,FM,Fire,0,0,1,1,6,7,Butte (County),6007,6,2020,8,2.19,256,0,73.3
CA,DR,Fire,1,0,1,1,6,7,Butte (County),6007,6,2020,8,2.19,256,0,73.3
OR,FM,Fire,0,0,1,1,41,41,Lincoln (County),41041,41,2020,9,6.14,349,0,76.6
OR,DR,Fire,1,0,1,1,41,41,Lincoln (County),41041,41,2020,9,6.14,349,0,76.6
OR,EM,Fire,0,0,1,0,41,41,Lincoln (County),41041,41,2020,9,6.14,349,0,76.6
OR,FM,Fire,0,0,1,1,41,39,Lane (County),41039,41,2020,9,9.06,468,0,80.6
OR,DR,Fire,1,0,1,1,41,39,Lane (County),41039,41,2020,9,9.06,468,0,80.6
